Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,782791,-,-,-,47.49,-93.02,-6,464,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.2.2
Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Temperature,Solar Zenith Angle,Pressure,Dew Point
2013,1,1,0,30,0,0,0,1.7000000000000002,-24,155.32,966,-24.900000000000002
2013,1,1,1,30,0,0,0,1.8,-24.400000000000002,151.33,966,-25.5
2013,1,1,2,30,0,0,0,1.8,-24.900000000000002,143.71,966,-26
2013,1,1,3,30,0,0,0,1.8,-25.3,134.37,966,-26.5
2013,1,1,4,30,0,0,0,1.8,-25.400000000000002,124.37,965,-27.1
2013,1,1,5,30,0,0,0,1.7000000000000002,-25.1,114.27,965,-27.200000000000003
2013,1,1,6,30,0,0,0,1.7000000000000002,-24.6,104.42,964,-27.200000000000003
2013,1,1,7,30,0,0,0,1.7000000000000002,-23.900000000000002,95.14,964,-26.900000000000002
2013,1,1,8,30,21,21,0,2.1,-22.3,86.53,964,-26.1
2013,1,1,9,30,171,40,727,2.8000000000000003,-20.1,79.60000000000001,963,-24
2013,1,1,10,30,278,52,834,3.2,-18.2,74.29,963,-22
2013,1,1,11,30,164,134,94,3.2,-16.400000000000002,71.14,962,-20.1
2013,1,1,12,30,213,135,233,3.2,-14.600000000000001,70.45,961,-18
2013,1,1,13,30,202,114,291,3,-13.200000000000001,72.32000000000001,960,-16.1
2013,1,1,14,30,69,69,0,2.5,-12.5,76.54,960,-14.700000000000001
2013,1,1,15,30,31,31,0,1.8,-12.600000000000001,82.69,960,-14
2013,1,1,16,30,0,0,0,1.7000000000000002,-12.8,89.96000000000001,959,-14.3
2013,1,1,17,30,0,0,0,1.9000000000000001,-12.700000000000001,99.39,959,-14.100000000000001
2013,1,1,18,30,0,0,0,2,-12.600000000000001,108.97,959,-13.9
2013,1,1,19,30,0,0,0,2,-12.8,118.98,959,-13.9
2013,1,1,20,30,0,0,0,2,-13,129.08,958,-14.100000000000001
2013,1,1,21,30,0,0,0,1.8,-13.200000000000001,138.85,958,-14.4
2013,1,1,22,30,0,0,0,1.7000000000000002,-13.5,147.55,957,-14.700000000000001
2013,1,1,23,30,0,0,0,1.7000000000000002,-13.5,153.73,957,-14.9
2013,1,2,0,30,0,0,0,1.7000000000000002,-13.3,155.25,957,-14.700000000000001
2013,1,2,1,30,0,0,0,1.7000000000000002,-13.100000000000001,151.3,957,-14.5
2013,1,2,2,30,0,0,0,1.7000000000000002,-12.9,143.71,957,-14.4
2013,1,2,3,30,0,0,0,1.8,-12.600000000000001,134.39000000000001,957,-14.200000000000001
2013,1,2,4,30,0,0,0,2,-12.3,124.39,956,-13.9
2013,1,2,5,30,0,0,0,2,-12.100000000000001,114.28,956,-13.700000000000001
2013,1,2,6,30,0,0,0,2,-12,104.43,956,-13.600000000000001
2013,1,2,7,30,0,0,0,2.1,-11.9,95.14,956,-13.600000000000001
2013,1,2,8,30,42,23,303,2.3000000000000003,-11.5,86.53,957,-13.4
2013,1,2,9,30,156,54,565,2.5,-10.9,79.57000000000001,957,-12.9
2013,1,2,10,30,113,104,33,2.6,-10.3,74.24,957,-12.3
2013,1,2,11,30,135,125,30,2.6,-9.8,71.06,957,-11.700000000000001
2013,1,2,12,30,94,94,0,2.4000000000000004,-9.4,70.36,957,-11.3
2013,1,2,13,30,34,34,0,2,-9.200000000000001,72.21000000000001,957,-10.9
2013,1,2,14,30,39,39,0,1.4000000000000001,-9.3,76.41,957,-10.700000000000001
2013,1,2,15,30,21,21,0,0.9,-10,82.56,958,-10.700000000000001
2013,1,2,16,30,0,0,0,0.8,-11,89.85000000000001,959,-11.700000000000001
2013,1,2,17,30,0,0,0,0.9,-11.200000000000001,99.25,959,-12.200000000000001
2013,1,2,18,30,0,0,0,1.3,-10.9,108.83,960,-12.100000000000001
2013,1,2,19,30,0,0,0,1.5,-10.700000000000001,118.84,960,-11.8
2013,1,2,20,30,0,0,0,1.8,-10.5,128.94,960,-11.600000000000001
2013,1,2,21,30,0,0,0,2,-10.700000000000001,138.71,961,-11.5
2013,1,2,22,30,0,0,0,2,-11.100000000000001,147.41,961,-11.9
2013,1,2,23,30,0,0,0,2.1,-11.600000000000001,153.61,962,-12.4
2013,1,3,0,30,0,0,0,2.2,-11.9,155.16,962,-12.9
2013,1,3,1,30,0,0,0,2.5,-12.3,151.26,963,-13.3
2013,1,3,2,30,0,0,0,2.6,-12.8,143.70000000000002,963,-13.8
2013,1,3,3,30,0,0,0,2.5,-13.5,134.39000000000001,964,-14.600000000000001
2013,1,3,4,30,0,0,0,2.3000000000000003,-14,124.4,964,-15.4
2013,1,3,5,30,0,0,0,2,-14.5,114.29,964,-16
2013,1,3,6,30,0,0,0,1.9000000000000001,-15,104.43,965,-16.7
2013,1,3,7,30,0,0,0,1.8,-15.4,95.13,965,-17.2
2013,1,3,8,30,44,22,359,2.1,-15,86.51,965,-17.6
2013,1,3,9,30,120,58,339,2.7,-14.100000000000001,79.53,965,-17
2013,1,3,10,30,268,59,766,3.2,-13.3,74.18,965,-16.2
2013,1,3,11,30,332,67,812,3.6,-12.600000000000001,70.98,964,-15.600000000000001
2013,1,3,12,30,346,69,820,4,-11.9,70.25,963,-14.9
2013,1,3,13,30,309,65,793,4.3,-11.200000000000001,72.09,962,-14.100000000000001
2013,1,3,14,30,228,55,728,4.2,-10.700000000000001,76.28,961,-13.3
2013,1,3,15,30,110,37,556,3.9000000000000004,-10.8,82.42,961,-12.700000000000001
2013,1,3,16,30,0,0,0,3.9000000000000004,-11.4,89.73,960,-12.8
2013,1,3,17,30,0,0,0,4.2,-11.8,99.10000000000001,960,-13.200000000000001
2013,1,3,18,30,0,0,0,5.1000000000000005,-11.9,108.68,958,-13.3
2013,1,3,19,30,0,0,0,5.300000000000001,-11.700000000000001,118.69,956,-13.200000000000001
2013,1,3,20,30,0,0,0,5.2,-11.5,128.79,956,-12.8
2013,1,3,21,30,0,0,0,4.7,-11.3,138.56,955,-12.700000000000001
2013,1,3,22,30,0,0,0,4.3,-11.100000000000001,147.27,955,-12.4
2013,1,3,23,30,0,0,0,3.8000000000000003,-10.9,153.48,955,-12.100000000000001
2013,1,4,0,30,0,0,0,3.4000000000000004,-11,155.07,956,-12
2013,1,4,1,30,0,0,0,3,-11.3,151.22,956,-12.100000000000001
2013,1,4,2,30,0,0,0,2.7,-11.8,143.69,956,-12.600000000000001
2013,1,4,3,30,0,0,0,2.4000000000000004,-12.200000000000001,134.39000000000001,957,-13.200000000000001
2013,1,4,4,30,0,0,0,2.3000000000000003,-12.5,124.41,957,-13.5
2013,1,4,5,30,0,0,0,2.3000000000000003,-12.700000000000001,114.3,957,-13.8
2013,1,4,6,30,0,0,0,2.3000000000000003,-12.700000000000001,104.43,958,-14
2013,1,4,7,30,0,0,0,2.5,-12.5,95.12,958,-14
2013,1,4,8,30,48,21,447,2.9000000000000004,-10.9,86.48,958,-13.600000000000001
2013,1,4,9,30,173,41,723,3.2,-8.5,79.49,959,-10.8
2013,1,4,10,30,282,53,835,3.3000000000000003,-6.800000000000001,74.12,960,-8.700000000000001
2013,1,4,11,30,344,59,871,3.5,-5.4,70.89,960,-7.6000000000000005
2013,1,4,12,30,359,60,881,3.6,-4.5,70.14,960,-6.6000000000000005
2013,1,4,13,30,322,56,859,3.1,-4.4,71.96000000000001,960,-6.1000000000000005
2013,1,4,14,30,237,48,791,2.3000000000000003,-5.2,76.15,961,-6.1000000000000005
2013,1,4,15,30,119,33,635,1.6,-7.5,82.28,961,-7.5
2013,1,4,16,30,0,0,0,1.4000000000000001,-10.3,89.60000000000001,962,-10.3
2013,1,4,17,30,0,0,0,1.4000000000000001,-11.5,98.95,962,-11.5
2013,1,4,18,30,0,0,0,1.3,-13.200000000000001,108.53,962,-13.200000000000001
2013,1,4,19,30,0,0,0,1.2000000000000002,-13.4,118.54,963,-13.4
2013,1,4,20,30,0,0,0,1.2000000000000002,-13,128.64000000000001,963,-13
2013,1,4,21,30,0,0,0,1.2000000000000002,-12.600000000000001,138.41,963,-12.9
2013,1,4,22,30,0,0,0,1.1,-12.3,147.12,963,-13
2013,1,4,23,30,0,0,0,1.1,-12.4,153.34,963,-13
2013,1,5,0,30,0,0,0,1.1,-12.9,154.97,963,-13.5
2013,1,5,1,30,0,0,0,1.1,-13.5,151.16,963,-14.3
2013,1,5,2,30,0,0,0,1.1,-13.8,143.66,962,-14.9
2013,1,5,3,30,0,0,0,1.2000000000000002,-14.100000000000001,134.39000000000001,961,-15.3
2013,1,5,4,30,0,0,0,1.2000000000000002,-14.5,124.41,961,-15.600000000000001
2013,1,5,5,30,0,0,0,1.2000000000000002,-14.9,114.29,960,-16.1
2013,1,5,6,30,0,0,0,1.1,-15,104.42,960,-16.400000000000002
2013,1,5,7,30,0,0,0,1,-14.700000000000001,95.10000000000001,959,-16.2
2013,1,5,8,30,46,22,392,0.9,-13.8,86.45,959,-15.8
2013,1,5,9,30,74,68,33,1,-12.3,79.43,959,-14.8
2013,1,5,10,30,168,106,224,1.3,-10.5,74.04,959,-13.200000000000001
2013,1,5,11,30,154,134,62,1.4000000000000001,-8.9,70.79,958,-11.5
2013,1,5,12,30,229,133,281,1.4000000000000001,-7.7,70.03,957,-10.4
2013,1,5,13,30,118,114,12,1.6,-6.9,71.83,957,-9.3
2013,1,5,14,30,50,50,0,1.5,-7.2,76,957,-8.8
2013,1,5,15,30,67,50,125,1.3,-9.4,82.13,957,-9.5
2013,1,5,16,30,0,0,0,1.7000000000000002,-11.9,89.47,957,-12.3
2013,1,5,17,30,0,0,0,1.9000000000000001,-12.700000000000001,98.8,958,-13.8
2013,1,5,18,30,0,0,0,2.1,-13.100000000000001,108.38,959,-14.100000000000001
2013,1,5,19,30,0,0,0,2.1,-12.600000000000001,118.39,959,-14
2013,1,5,20,30,0,0,0,2.1,-11.9,128.49,959,-13.4
2013,1,5,21,30,0,0,0,2.1,-11.600000000000001,138.26,960,-12.9
2013,1,5,22,30,0,0,0,2.1,-11.600000000000001,146.96,960,-12.8
2013,1,5,23,30,0,0,0,2.2,-11.8,153.20000000000002,960,-13.100000000000001
2013,1,6,0,30,0,0,0,2.1,-12,154.86,961,-13.4
2013,1,6,1,30,0,0,0,1.8,-12.4,151.1,961,-13.700000000000001
2013,1,6,2,30,0,0,0,1.7000000000000002,-13.8,143.63,962,-14.5
2013,1,6,3,30,0,0,0,1.7000000000000002,-16,134.37,963,-16.5
2013,1,6,4,30,0,0,0,1.8,-17.5,124.4,963,-18.3
2013,1,6,5,30,0,0,0,1.7000000000000002,-18.3,114.29,964,-19.1
2013,1,6,6,30,0,0,0,1.6,-18.6,104.4,964,-19.6
2013,1,6,7,30,0,0,0,1.4000000000000001,-18.400000000000002,95.07000000000001,965,-19.900000000000002
2013,1,6,8,30,49,21,454,1.2000000000000002,-17.1,86.4,965,-19.8
